Nutrition Group Category (WWEIA),Nutrition Subgroup Category (WWEIA),Category (Final),General FNDDS Code,FNDDS Code Food Description
Protein Foods,Plant-based Protein Foods,Almonds,42100100,"Almonds, NFS"
Fruits,Apple,Apple,63101000,"Apple, raw"
Fruits,Apple,Applesauce,63101110,"Applesauce, regular"
Vegetables,Other vegetables and combinations,Avocado,63105010,"Avocado, raw"
Protein Foods,Meats,Bacon,22600200,"Pork bacon, NS as to fresh, smoked or cured, cooked"
Grains,Bagels and English Muffins,Bagels,51180010,Bagel
Protein Foods,Plant-based Protein Foods,Baked Beans,41100990,"Beans, NFS"
Vegetables,"White potatoes, baked or broiled",Baked potato,71100100,"Potato, baked, NFS"
Fruits,Bananas,Bananas,63107010,"Bananas, raw"
Grains,"Biscuits, muffins, quick breads",Biscuits,52101000,"Biscuits, NFS"
Protein Foods,Plant-based Protein Foods,Black Beans,41100990,"Beans, NFS"
Fruits,Blueberries,Blueberries,63203010,"Blueberries, raw"
Protein Foods,Eggs,Boiled egg,31103010,"Egg, whole, boiled or poached"
Protein Foods,Fish,Breaded fish,26100140,"Fish, NS as to type, coated, fried, made with oil"
Vegetables,Broccoli,Broccoli,72201100,"Broccoli, raw"
Grains,Rice,Brown Rice,56205000,"Rice, cooked, NFS"
Snacks and Sweets,Cookies and brownies,Brownies,53204000,"Cookie, brownie, NS as to icing"
Mixed Dishes ,Burgers,Burgers,27510155,"Cheeseburger, NFS"
Mixed Dishes ,Burritos and tacos,Burrito,58100160,"Burrito with meat, beans, and rice"
Vegetables,Cabbage,Cabbage,75105000,"Cabbage, red, raw"
Snacks and Sweets,Cakes and pies,Cakes or cupcakes,53100100,"Cake or cupcake, NS as to type"
Vegetables,Carrots,Carrots,73101010,"Carrots, raw"
Mixed Dishes ,Cheese sandwiches,Cheese sandwich,14640000,"Cheese sandwich, NFS"
Protein Foods,Poultry,Chicken breast,24120120,"Chicken breast, NS as to cooking method, skin not eaten"
Protein Foods,Poultry,Chicken nugget,24198729,"Chicken nuggets, NFS"
Protein Foods,Poultry,Chicken tender,24198739,"Chicken tenders or strips, NFS"
